"name","description","uploaded_pretty","uploaded","data_id","course_id","game_style_name","game_style","theme_name","theme","difficulty_name","difficulty","tags_name_1","tags_name_2","tag1","tag2","world_record_pretty","world_record","upload_time_pretty","upload_time","num_comments","clear_condition","clear_condition_magnitude","clears","attempts","clear_rate_pretty","clear_rate","plays","versus_matches","coop_matches","likes","boos","unique_players_and_versus","weekly_likes","weekly_plays"
"Ant farm","Getting a bit ANTSY are'nt we?","15-7-2019 1:03:49",1563152629,5679963,"YN2SM6MYG","SM3DW",4,"Underground",1,"Expert",2,"Short and sweet"," Themed",6,8,NA,NA,"02:31.580",151580,0,0,0,11,227,"4.85%",4.84581497797357,54,3,0,4,2,53,0,0
"sandshrine dungeon","reeeeeeeeeeeeeeeeeeeee","7-12-2019 21:11:20",1575753080,12310651,"7VQWKBQ4G","SMB1",0,"Desert",7,"Expert",2,"Puzzle solving"," Themed",2,8,NA,NA,"06:05.331",365331,2,0,0,15,153,"9.80%",9.80392156862745,53,6,13,8,5,68,0,0
"KoopaTroopa Highway","Enjoy guys","15-1-2020 16:06:21",1579104381,13703555,"TB6Y38KBG","SM3DW",4,"Overworld",0,"Expert",2,"Standard"," Speedrun",1,3,NA,NA,"02:40.282",160282,0,3437308486,16,12,200,"6.00%",6,61,0,15,6,1,71,0,0
"Iggy's castle","It's iggy's castle try not to die with my decent level design","17-7-2020 0:49:49",1594946989,21988495,"LM08WSMNG","SMW",2,"Castle",2,"Expert",2,"Standard"," Boss battle",1,13,NA,NA,"01:38.240",98240,0,0,0,3,58,"5.17%",5.17241379310345,13,0,0,1,3,13,0,0
"One screen puzzle./一画面解谜。","","26-6-2023 14:45:54",1687790754,45234791,"KMQD2PLLF","SMW",2,"Snow",6,"Expert",2,"Puzzle solving"," Technical",2,11,NA,NA,"00:31.216",31216,36,3466227835,2,1239,14798,"8.37%",8.37275307473983,1884,10,62,354,32,1686,0,1
"天井が低すぎてマリオが見えない","","4-1-2024 10:39:27",1704364767,48465092,"VXMWPWDCG","NSMBU",3,"Sky",8,"Expert",2,"Short and sweet"," Single player",6,14,NA,NA,"00:11.200",11200,3,0,0,9,338,"2.66%",2.66272189349112,85,0,0,16,3,73,0,0
"Ice-Slide Mountain","Climb the mountain, then slide it down! Be quick!","28-6-2019 15:16:36",1561734996,3092833,"VXXF0DJGF","SMW",2,"Snow",6,"Expert",2,"Speedrun"," Short and sweet",3,6,NA,NA,"00:42.833",42833,16,0,0,150,1566,"9.58%",9.57854406130268,330,3,0,57,11,309,0,0
"mario 5","","31-1-2021 12:36:55",1612096615,27313172,"V6MHW5TRG","SM3DW",4,"Ghost house",5,"Expert",2,"Standard"," Puzzle solving",1,2,NA,NA,"03:23.466",203466,0,0,0,8,51,"15.69%",15.6862745098039,15,0,6,1,0,21,0,0
"Tippy Tappy","Watch your step!","15-7-2019 20:31:19",1563222679,5780549,"YQP1WGGDG","SM3DW",4,"Airship",3,"Expert",2,"Standard"," Short and sweet",1,6,NA,NA,"00:57.040",57040,2,137525990,0,134,1204,"11.13%",11.1295681063123,245,1,25,44,5,241,0,0
"Pink coin collecting ピンクコイン集め","Please use the middle point when you like　中間ポイントは好きなときに使ってください","2-7-2019 8:18:21",1562055501,3978242,"5WYWLX8BG","SMW",2,"Ghost house",5,"Expert",2,"Themed"," Single player",8,14,NA,NA,"01:38.350",98350,9,0,0,69,1271,"5.43%",5.42879622344611,290,18,6,37,7,281,0,0
"mundo 2 - 1","","2-6-2023 2:51:37",1685674297,44782730,"JM8K0KJJG","SMB3",1,"Underground",1,"Expert",2,"Boss battle"," Single player",13,14,NA,NA,"01:43.407",103407,0,0,0,1,13,"7.69%",7.69230769230769,5,0,1,0,1,6,0,0
"3d",",8mr8ìðāļèħèðļæðļðļæ","27-1-2024 1:27:48",1706318868,48853599,"0YN812NDF","SM3DW",4,"Desert",7,"Expert",2,"Puzzle solving"," Puzzle solving",2,2,NA,NA,"00:24.485",24485,0,0,0,0,5,"0.00%",0,3,0,0,0,1,3,0,0
"げキムズコース","","12-3-2020 10:35:43",1584009343,15481128,"N7L5SYVMF","SM3DW",4,"Ghost house",5,"Expert",2,"Standard"," Puzzle solving",1,2,NA,NA,"01:36.849",96849,3,0,0,20,353,"5.67%",5.6657223796034,83,1,1,5,8,73,0,0
"Acrobats On The Moles","","3-5-2024 1:26:57",1714699617,50346373,"GW6YCQ2DG","SMB3",1,"Sky",8,"Expert",2,"Standard"," Technical",1,11,NA,NA,"00:17.355",17355,0,0,0,2,38,"5.26%",5.26315789473684,9,0,0,0,0,9,0,0
"first","epico first level","27-12-2021 1:18:22",1640567902,34757940,"M1XFYVSXF","SMB3",1,"Overworld",0,"Expert",2,"Standard"," Short and sweet",1,6,NA,NA,"02:53.028",173028,0,0,0,5,245,"2.04%",2.04081632653061,28,0,1,2,1,27,0,0
"Fortress Funtime","wanted to try using parts i dont use","20-3-2021 0:55:22",1616201722,28706326,"32W5H8QTG","NSMBU",3,"Castle",2,"Expert",2,"Standard"," Boss battle",1,13,NA,NA,"01:51.874",111874,14,0,0,156,2581,"6.04%",6.04416892677257,550,5,16,76,9,531,0,1
"謎解き地下室","難しい","11-4-2020 23:33:41",1586648021,16667103,"YY3FDLWDF","SMB1",0,"Underground",1,"Expert",2,"Puzzle solving"," Single player",2,14,NA,NA,"01:19.962",79962,0,0,0,14,255,"5.49%",5.49019607843137,104,1,14,7,1,118,1,1
"W-1-3 Tilt and bam","Try not to die!!","28-8-2021 18:32:31",1630175551,32680809,"P7Q7C05NF","SMB1",0,"Sky",8,"Expert",2,"Standard"," Standard",1,1,NA,NA,"02:31.133",151133,0,1431944825,1,2,41,"4.88%",4.8780487804878,16,0,2,1,3,18,0,0
"スピードラン","ない","19-2-2020 8:22:25",1582100545,14784807,"6JXS5NJLF","NSMBU",3,"Overworld",0,"Expert",2,"Speedrun"," Speedrun",3,3,NA,NA,"00:38.449",38449,1,3466227835,14,13,206,"6.31%",6.31067961165049,49,0,5,2,1,43,0,0
"Gerudo Desert","Find all red coins to beat the level!","19-9-2023 2:46:53",1695091613,46859399,"88H2B46GG","SMB1",0,"Desert",7,"Expert",2,"Standard"," Puzzle solving",1,2,NA,NA,"03:03.034",183034,2,0,0,4,82,"4.88%",4.8780487804878,29,0,5,3,1,32,0,0
"10秒チャレンジ","つまったらほぼ終わり　　0,01%狙い","6-12-2019 12:09:00",1575634140,12233059,"C44NKCTHF","NSMBU",3,"Underground",1,"Expert",2,"Themed"," Themed",8,8,NA,NA,"00:09.682",9682,1,0,0,7,203,"3.45%",3.44827586206897,37,0,0,1,0,34,0,0
"2たゲームができるコース","2こゲームができます","6-5-2024 11:10:47",1714993847,50406708,"29G85GRXF","NSMBU",3,"Overworld",0,"Expert",2,"Multiplayer versus"," Music",7,9,NA,NA,"02:24.362",144362,0,2131209407,39,9,156,"5.77%",5.76923076923077,23,0,4,3,0,27,0,0
"Those Dang Walls","Remake of a 3D Version of the original","4-8-2021 21:03:31",1628111011,32075943,"X78CQKXLF","NSMBU",3,"Sky",8,"Expert",2,"None"," None",0,0,NA,NA,"00:05.981",5981,0,137525990,0,2,37,"5.41%",5.40540540540541,18,0,1,1,2,19,0,0
"Springs 'n Moles (Reupload)","Throw springs to move moles, get items, and traverse the level! (1st Level)","14-6-2022 23:14:00",1655248440,38467831,"4DSD0FJ1G","SMW",2,"Underground",1,"Expert",2,"Short and sweet"," Technical",6,11,NA,NA,"00:47.302",47302,1,0,0,10,135,"7.41%",7.40740740740741,32,0,9,5,0,40,0,0
"【性別クイズ】man/woman quiz    上 男 下 女","敵の性別がどっちかを当てよう！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　 上 : 男　　　下 : 女","14-10-2019 6:51:19",1571035879,10991017,"L6RX4FDNF","SMB1",0,"Snow",6,"Expert",2,"Standard"," Multiplayer versus",1,7,NA,NA,"00:36.704",36704,6,0,0,43,361,"11.91%",11.9113573407202,111,7,12,13,9,115,0,0
"2連TAS","クリアチェックは双子の兄弟にやってもらいました！(FXR_syun)→コースIDR73-9GD-TNF是非やってみてください！！！！！","22-10-2022 12:03:13",1666440193,40772241,"XPFPW06QG","NSMBU",3,"Overworld",0,"Expert",2,"Short and sweet"," Technical",6,11,NA,NA,"00:04.269",4269,0,0,0,5,115,"4.35%",4.34782608695652,20,0,0,1,1,18,0,0
"クソコです","クソコです","4-9-2023 11:28:00",1693826880,46635893,"2RG5GFTYF","SMB1",0,"Underground",1,"Expert",2,"Short and sweet"," Short and sweet",6,6,NA,NA,"00:47.107",47107,0,0,0,1,37,"2.70%",2.7027027027027,10,0,0,0,0,8,0,2
"trampa","no caigas en trampas","7-7-2023 1:25:58",1688693158,45432031,"970M4LGDF","SMB1",0,"Overworld",0,"Expert",2,"Standard"," Auto mario",1,5,NA,NA,"00:38.111",38111,1,0,0,7,54,"12.96%",12.962962962963,15,0,1,1,2,15,0,0
"Flying in the skys (speedrun)","its a 20 second speed run GOOD LUCK!","17-1-2020 20:53:45",1579294425,13756860,"HM3XPW05G","SMW",2,"Snow",6,"Expert",2,"Speedrun"," Short and sweet",3,6,NA,NA,"00:19.500",19500,0,0,0,2,261,"0.77%",0.766283524904214,29,0,0,1,3,26,0,0
"スピードラン/speed run ","初めてスピラン作ってみました☆走って走って走り抜けろ！","1-7-2023 4:21:27",1688185287,45316561,"3L3FQKMPG","NSMBU",3,"Ghost house",5,"Expert",2,"Technical"," Technical",11,11,NA,NA,"00:26.155",26155,2,0,0,15,323,"4.64%",4.64396284829721,42,0,0,4,3,37,0,1
"unnko","unnko","7-12-2022 9:34:11",1670405651,41397175,"59KY89D1G","NSMBU",3,"Overworld",0,"Expert",2,"None"," None",0,0,NA,NA,"01:26.716",86716,0,4116396131,999,1,10,"10.00%",10,3,0,2,0,1,5,0,0
"5-E plateau du prelude","Il est l'heure de sauver Zelda","3-3-2022 17:14:55",1646327695,36358139,"2SBVJRN4G","SMB1",0,"Forest",9,"Expert",2,"Themed"," Link",8,15,NA,NA,"05:21.979",321979,1,0,0,14,70,"20.00%",20,34,3,26,5,1,60,0,0
"firebar castle","","6-6-2024 19:08:16",1717700896,50781703,"2PJVMSWFG","SMW",2,"Castle",2,"Expert",2,"None"," None",0,0,NA,NA,"01:58.705",118705,2,0,0,8,97,"8.25%",8.24742268041237,24,0,1,4,1,24,0,0
"Fortaleza de Pum Pum 2-4","","25-3-2024 15:22:39",1711380159,49770079,"7NVBY2KDF","SM3DW",4,"Desert",7,"Expert",2,"Standard"," Technical",1,11,NA,NA,"01:39.455",99455,1,0,0,3,56,"5.36%",5.35714285714286,14,0,2,2,0,15,0,1
"「「「","","26-7-2023 9:43:10",1690364590,45822850,"PF6JF68BG","SMB1",0,"Forest",9,"Expert",2,"Standard"," Puzzle solving",1,2,NA,NA,"01:28.725",88725,0,1221661152,1,2,41,"4.88%",4.8780487804878,8,0,2,0,0,10,0,0
"初めてのスピードラン","お兄ちゃんと一緒につくりました時間設定はしませんでした","27-5-2020 9:47:31",1590572851,19940457,"FCYVBK2NF","NSMBU",3,"Overworld",0,"Super expert",3,"Speedrun"," Speedrun",3,3,"00:40.199",40199,"01:01.549",61549,0,0,0,2,61,"3.28%",3.27868852459016,9,0,0,0,1,9,NA,NA
"Buried Paradise","SMW platforming level with 1 checkpoint :-)","23-5-2021 0:43:26",1621730606,30424141,"7CH5P8CLG","SMW",2,"Underground",1,"Super expert",3,"Technical"," Single player",11,14,"00:36.435",36435,"00:40.176",40176,181,0,0,4325,186746,"2.32%",2.31597999421674,11017,0,1,2436,271,9503,NA,NA
"あぁぁぁぁぁ※～～～～～～～～～～～～～～～～～～～～～～～～～","abml","7-7-2024 8:49:35",1720342175,51188295,"GP7WY49GG","NSMBU",3,"Overworld",0,"Super expert",3,"Standard"," Multiplayer versus",1,7,NA,NA,"01:49.733",109733,0,0,0,0,17,"0.00%",0,3,0,0,0,0,2,NA,NA
"【SPEED RUN】砂漠で取りこぼしたコイン　～90sec～","タイムは長いけどコースは単純なので中級者向けです(^.^)　　　　 過去最高傑作なので是非ともクリアしてください♪","2-5-2024 23:27:48",1714692468,50344664,"QCSKXF0WG","NSMBU",3,"Desert",7,"Super expert",3,"Speedrun"," Single player",3,14,"01:21.033",81033,"01:22.816",82816,59,0,0,326,31767,"1.03%",1.02622218024994,2799,0,1,344,43,1864,NA,NA
"High sky pursuit","Chase ludwigs ship while being hunted by someone...","25-8-2022 4:12:15",1661400735,39899507,"4M6FDKWWF","SMB3",1,"Forest",9,"Super expert",3,"Autoscroll"," Boss battle",4,13,NA,NA,"01:33.683",93683,0,0,0,0,8,"0.00%",0,4,0,0,0,0,4,NA,NA
"Another Adventure","Another adventure in platform land","31-8-2020 17:07:15",1598893635,23513414,"QSD3044FG","SMB3",1,"Overworld",0,"Super expert",3,"Standard"," Single player",1,14,"01:12.541",72541,"01:07.458",67458,11,0,0,52,5805,"0.90%",0.895779500430663,387,0,0,70,15,352,NA,NA
"Gay Bowser's Revenge","In this action-packed sequel, Gay Bowser returns to get revenge on Mario.","26-6-2020 22:34:04",1593210844,21259752,"N6RMTPGMF","NSMBU",3,"Desert",7,"Super expert",3,"Speedrun"," Art",3,10,"00:28.393",28393,"00:29.739",29739,0,0,0,6,536,"1.12%",1.11940298507463,61,0,0,3,0,59,NA,NA
"Powlatforming Castle","A short course with some platforming","17-11-2020 11:26:11",1605612371,25171621,"LYBLNRXJF","SMB1",0,"Castle",2,"Super expert",3,"Single player"," Link",14,15,"00:53.962",53962,"01:00.018",60018,21,0,0,53,3469,"1.53%",1.52781781493226,355,1,1,63,20,326,NA,NA
"Strawberry Pi","Always tie your shoes when you ride bikes!","23-10-2019 20:52:16",1571863936,11255850,"8RQ2NKCPF","SMB3",1,"Overworld",0,"Super expert",3,"Speedrun"," Speedrun",3,3,"00:15.454",15454,"00:16.779",16779,1,4116396131,314,6,464,"1.29%",1.29310344827586,80,0,0,6,1,74,NA,NA
"Jump King Mario Style (Medium)","Here is my own version of Jump King, but built into m Mario Maker. Enjoy>;)","30-6-2019 1:58:42",1561859922,3516937,"M4QPHJFHG","NSMBU",3,"Desert",7,"Super expert",3,"Speedrun"," Themed",3,8,"01:28.433",88433,"02:07.072",127072,1,0,0,1,98,"1.02%",1.02040816326531,16,0,38,2,0,46,NA,NA
"wald level lalaūūūūūū","ein wald level und schloss level   für huibi und dääääääääävid","28-1-2024 10:51:22",1706439082,48889343,"G828LHR7G","NSMBU",3,"Forest",9,"Super expert",3,"Standard"," Single player",1,14,NA,NA,"01:06.401",66401,0,0,0,0,34,"0.00%",0,6,0,0,0,0,6,NA,NA
"ちょい難スピードラン改","","28-10-2023 6:03:26",1698473006,47409414,"RTNN180FG","NSMBU",3,"Overworld",0,"Super expert",3,"Technical"," Single player",11,14,NA,NA,"00:08.867",8867,0,0,0,0,1,"0.00%",0,1,0,0,0,0,1,NA,NA
"Abandoned mansion","You are trapped inside an old mansion at night, can you escape?","28-7-2019 14:43:50",1564325030,7060007,"NRDCP61MF","SMB3",1,"Ghost house",5,"Super expert",3,"Puzzle solving"," Themed",2,8,"03:27.427",207427,"04:39.694",279694,1,0,0,3,210,"1.43%",1.42857142857143,51,0,5,6,0,53,NA,NA
"1%ねらう","さいしょにきおつけて","23-2-2024 10:15:05",1708683305,49297475,"PF3L3LHBG","NSMBU",3,"Overworld",0,"Super expert",3,"Themed"," Technical",8,11,"00:25.518",25518,"00:42.406",42406,0,0,0,1,69,"1.45%",1.44927536231884,6,0,0,0,0,6,NA,NA
"Upthrow bonk x10 / 트라이앵글 10회","연습 3번","27-11-2023 10:41:38",1701081698,47851136,"C3D41JM8G","SMW",2,"Forest",9,"Super expert",3,"Technical"," Single player",11,14,"00:22.950",22950,"00:25.343",25343,0,4116396131,10,9,1942,"0.46%",0.463439752832132,131,0,0,11,3,80,NA,NA
"Cat's Trampolines v1.1","I might re-upload this level with more content. Is this level hard? Well...","27-1-2021 21:09:26",1611781766,27186653,"R15MD0L1H","SM3DW",4,"Sky",8,"Super expert",3,"Short and sweet"," Single player",6,14,"00:45.066",45066,"00:26.983",26983,5,2111528319,0,3,544,"0.55%",0.551470588235294,77,0,23,7,7,84,NA,NA
"あいだ抜けチャレンジ4","","3-11-2022 2:01:59",1667440919,40931016,"38TMTSDGG","NSMBU",3,"Sky",8,"Super expert",3,"Music"," Link",9,15,"00:01.377",1377,"00:02.546",2546,2,0,0,24,1540,"1.56%",1.55844155844156,130,1,0,11,5,113,NA,NA
"隠しブロックがあるからゴールできないけど、カメックが・・・","運でゴールできる。","18-6-2023 8:30:56",1687077056,45084156,"6GNTYJP5G","SMB3",1,"Overworld",0,"Super expert",3,"Short and sweet"," Single player",6,14,"00:28.146",28146,"01:13.401",73401,7,0,0,13,849,"1.53%",1.53121319199058,106,2,2,13,5,105,NA,NA
"Habilidad:)","Disfrutalo;3","24-11-2019 23:34:05",1574638445,11976305,"36WL9JMVF","NSMBU",3,"Overworld",0,"Super expert",3,"Standard"," Standard",1,1,"00:27.279",27279,"01:02.624",62624,1,0,0,8,1312,"0.61%",0.609756097560976,72,0,0,5,2,62,NA,NA
"jumpers jump","have fun guys ","8-5-2021 1:07:04",1620436024,30082013,"NDGSVKG1H","SMB3",1,"Forest",9,"Super expert",3,"Standard"," Technical",1,11,"01:28.883",88883,"02:46.322",166322,1,0,0,3,96,"3.12%",3.125,23,0,2,2,4,23,NA,NA
"Vexing Pipes v1.4","THE BOOS DO NOT ACCEPT MONTY MOLE.","11-7-2024 2:57:04",1720666624,51237354,"0JVL0MGPF","SMB3",1,"Ghost house",5,"Super expert",3,"Puzzle solving"," Boss battle",2,13,"11:39.481",699481,"05:54.032",354032,1,0,0,1,117,"0.85%",0.854700854700855,25,0,0,2,3,23,NA,NA
"一発クリア 3","","22-1-2023 11:00:47",1674385247,42258953,"VH7T5XCHG","NSMBU",3,"Airship",3,"Super expert",3,"Short and sweet"," Single player",6,14,"00:09.966",9966,"00:09.966",9966,2,0,0,1,126,"0.79%",0.793650793650794,24,0,0,1,0,23,NA,NA
"TroLL【16#】cat～!Panic!?、青猫の館(コラボ)","トロールコース(16)、難易度★4.5、コースの長さは普通。血石の青猫さんとの奇跡のコラボトロール！。二人のギミックが混ざり合いミラクルが生まれる！","12-2-2024 13:14:29",1707743669,49133174,"8T2Y5MW0G","SMW",2,"Desert",7,"Super expert",3,"Puzzle solving"," Themed",2,8,"02:40.383",160383,"03:29.416",209416,8,0,0,13,2548,"0.51%",0.510204081632653,133,1,0,19,3,110,NA,NA
"いろいろ尋常じゃないコース","大変","15-4-2023 6:58:35",1681541915,43794022,"3Y6GMV9LF","SMW",2,"Overworld",0,"Super expert",3,"Standard"," Technical",1,11,NA,NA,"00:26.200",26200,0,0,0,0,23,"0.00%",0,7,0,0,0,0,7,NA,NA
"むずい","激難","4-8-2024 3:22:40",1722741760,51630868,"FNF02PYRG","NSMBU",3,"Castle",2,"Super expert",3,"Shooter"," Boss battle",12,13,NA,NA,"04:12.466",252466,0,1268255615,1,0,5,"0.00%",0,2,0,0,0,0,2,NA,NA
"pow speed run / 30sec","the timer is NOT a problem ","10-7-2019 22:17:05",1562797025,5169252,"NG1NPDSJF","SM3DW",4,"Snow",6,"Super expert",3,"Speedrun"," Short and sweet",3,6,"00:23.240",23240,"00:23.666",23666,0,0,0,5,358,"1.40%",1.39664804469274,80,0,1,5,1,79,NA,NA
"結構ムズい心おれるな","ゆきだまいれるーパックン倒すーいろいろ踏むー？？？？","30-11-2020 21:52:13",1606773133,25456179,"Q1YP704XF","NSMBU",3,"Snow",6,"Super expert",3,"Technical"," Single player",11,14,"00:32.549",32549,"00:33.205",33205,0,0,0,1,41,"2.44%",2.4390243902439,14,0,2,0,0,13,NA,NA
"Hollow Knight","1-2","7-11-2021 20:33:38",1636317218,33948578,"SQRSJSVGF","SMW",2,"Underground",1,"Super expert",3,"Technical"," Single player",11,14,"02:17.993",137993,"01:13.211",73211,0,0,0,21,6541,"0.32%",0.321051826937777,185,0,0,28,4,148,NA,NA
"Coin Master","Try to get all the key coins by completing all the mini games!","9-9-2020 17:52:54",1599673974,23748812,"DFKPRW1LG","SMW",2,"Ghost house",5,"Super expert",3,"Puzzle solving"," Single player",2,14,"03:06.298",186298,"03:52.483",232483,0,0,0,1,316,"0.32%",0.316455696202532,64,0,12,6,6,70,NA,NA
"Ghost House (Down South!)","Escape from the notably small haunted mansion.","21-7-2019 16:54:01",1563728041,6360957,"4TWQ8ST5G","SMB3",1,"Ghost house",5,"Super expert",3,"Standard"," Themed",1,8,"01:22.790",82790,"01:52.511",112511,0,0,0,2,209,"0.96%",0.956937799043062,72,1,9,4,1,81,NA,NA
"Short kaizo light lvl part 2","Red coins!","18-1-2020 15:29:23",1579361363,13794164,"HHC32PSXF","SMW",2,"Overworld",0,"Super expert",3,"Standard"," Short and sweet",1,6,"00:24.700",24700,"00:29.616",29616,0,0,0,7,365,"1.92%",1.91780821917808,76,3,0,8,5,74,NA,NA
"ドドドドドドドドドッド～～～ラえもん♪(ドッスン)","星野源。スピンジャンプでドッスンの上を行こう","9-10-2019 0:06:15",1570579575,10807409,"B6T233JVF","SMW",2,"Castle",2,"Super expert",3,"Standard"," Standard",1,1,"04:49.020",289020,"01:58.500",118500,0,0,0,1,143,"0.70%",0.699300699300699,8,0,0,0,1,6,NA,NA
"Blazing forest [30s]","SMM2 3rd Anniversary!    　　　　　　　　　　　　　　　　　自己満足連打コースになってしまった","2-7-2022 14:25:26",1656771926,38784646,"JXKBNDKFG","SMB3",1,"Forest",9,"Super expert",3,"Technical"," Single player",11,14,NA,NA,"00:26.420",26420,0,4116396131,111,0,666,"0.00%",0,65,0,0,10,5,59,NA,NA
"pocky jump","jump over pockys","27-5-2023 19:57:37",1685217457,44682037,"4R5F2XWYF","SMB1",0,"Underground",1,"Super expert",3,"Speedrun"," Single player",3,14,"01:11.464",71464,"01:04.369",64369,0,0,0,6,758,"0.79%",0.79155672823219,57,0,0,6,2,53,NA,NA
"Night of the Rotten Mushrooms.","They are coming for you! Nowhere is safe!","9-7-2019 0:37:11",1562632631,4955614,"2PCC8K72H","SMB3",1,"Overworld",0,"Super expert",3,"Multiplayer versus"," Multiplayer versus",7,7,"01:00.651",60651,"00:51.953",51953,3,0,0,3,286,"1.05%",1.04895104895105,44,0,0,2,0,38,NA,NA
"on/off bounce","its not that difficult","1-10-2019 19:00:42",1569956442,10588901,"4R7D1HYJF","SMW",2,"Overworld",0,"Super expert",3,"Short and sweet"," Themed",6,8,"03:39.504",219504,"01:26.833",86833,0,0,0,6,186,"3.23%",3.2258064516129,18,0,26,3,2,28,NA,NA
"common speed run (40ses)","speedrun is funny","23-6-2020 3:39:35",1592883575,21126449,"LHLD06GVF","NSMBU",3,"Underground",1,"Super expert",3,"Speedrun"," Single player",3,14,"00:34.819",34819,"00:37.294",37294,0,0,0,1,282,"0.35%",0.354609929078014,22,0,0,1,1,18,NA,NA
"Xian★Yu生日快乐！！！！","Xian★Yu为了提升自己开始了大冒险(通过表世界的试炼，打倒boss为正常结局，除此之外还有偷鸡结局和拿齐红币的强者结局)最后祝阿错生日快乐！！！！","14-12-2023 10:51:13",1702551073,48058134,"5QFM982VG","NSMBU",3,"Underground",1,"Super expert",3,"None"," None",0,0,"00:30.466",30466,"00:37.166",37166,0,0,0,12,653,"1.84%",1.83767228177642,52,0,1,5,2,40,NA,NA
"parkour 2.0 run cute cut 1.2","parkour 2 parte","15-8-2020 6:00:31",1597471231,23002139,"TNFK2Q00H","SMB1",0,"Overworld",0,"Super expert",3,"Speedrun"," Single player",3,14,"05:34.240",334240,"00:39.056",39056,0,0,0,1,145,"0.69%",0.689655172413793,11,0,0,1,1,8,NA,NA
"Speedrun 2.0 by Tops_01","Ich hoffe euch gefällt mein 2. Speedrun.","13-7-2019 9:48:40",1563011320,5446883,"PGYV73JHF","NSMBU",3,"Sky",8,"Super expert",3,"Speedrun"," Short and sweet",3,6,"00:45.239",45239,"00:52.649",52649,0,0,0,10,1000,"1.00%",1,67,0,0,3,2,54,NA,NA
"むり","","8-5-2024 10:04:26",1715162666,50424995,"BRR0LHDHF","NSMBU",3,"Underground",1,"Super expert",3,"None"," None",0,0,NA,NA,"00:32.771",32771,0,375673178,0,0,57,"0.00%",0,6,0,1,0,1,7,NA,NA
"Speedrun a little troll for Zeta","Si no das superado el nivel, intentalo como en el super experto.","8-9-2021 21:03:23",1631135003,32915100,"PPFF4MF0H","NSMBU",3,"Forest",9,"Super expert",3,"Short and sweet"," Single player",6,14,"00:09.531",9531,"00:09.474",9474,2,0,0,2,364,"0.55%",0.549450549450549,46,0,0,3,0,42,NA,NA
"騙しコース","騙しコースです","25-2-2022 11:37:52",1645789072,36218392,"4RF67FCWG","NSMBU",3,"Sky",8,"Super expert",3,"Themed"," Technical",8,11,"00:26.561",26561,"00:35.134",35134,0,0,0,1,186,"0.54%",0.537634408602151,15,0,0,1,1,15,NA,NA
"Gap Jump I'll Assume is Possibe","Too hard? Block clipping is provided if you aren't getting enough speed.","11-7-2021 19:12:44",1626030764,31505726,"LV85X1K6G","NSMBU",3,"Sky",8,"Super expert",3,"Themed"," Technical",8,11,"01:49.360",109360,"00:58.362",58362,0,0,0,2,400,"0.50%",0.5,58,0,0,5,1,52,NA,NA
"チョットムズカシイカナ？","無理ですね","1-4-2023 23:20:02",1680391202,43481032,"1DG67CRGG","NSMBU",3,"Snow",6,"Super expert",3,"Speedrun"," Single player",3,14,"00:39.844",39844,"01:06.298",66298,5,0,0,2,314,"0.64%",0.636942675159236,50,0,0,8,3,46,NA,NA
"Flossnelus Shell Jump #TS","The epic VR is only 20 Shell Jumps away!","29-3-2020 22:03:44",1585519424,16165677,"7JSQ35HRF","SMW",2,"Sky",8,"Super expert",3,"Themed"," Technical",8,11,"00:39.150",39150,"00:42.033",42033,1,137525990,0,19,4792,"0.40%",0.396494156928214,172,0,0,19,3,128,NA,NA
"ジャンプ禁止！　君ならどうする？","","8-3-2020 3:47:14",1583639234,15338892,"N9YDMJ2LG","SMW",2,"Overworld",0,"Super expert",3,"Standard"," Themed",1,8,"01:20.150",80150,"02:01.050",121050,2,137525990,0,11,707,"1.56%",1.55586987270156,139,0,22,15,8,143,NA,NA
"Sky Thrills","","6-7-2019 5:41:33",1562391693,4547067,"JV8V4XF4G","NSMBU",3,"Sky",8,"Super expert",3,"Puzzle solving"," Music",2,9,"01:35.651",95651,"01:40.355",100355,1,0,0,4,421,"0.95%",0.950118764845606,44,0,0,4,2,37,NA,NA
"Switch 'N' Coins","","5-7-2019 21:15:26",1562361326,4490918,"2YM3KDWKF","SMB1",0,"Forest",9,"Super expert",3,"Speedrun"," Short and sweet",3,6,"00:29.751",29751,"00:29.768",29768,406,0,0,7349,344954,"2.13%",2.1304289847342,16144,6,3,3569,303,13361,NA,NA
"矢印の方向に進め","","13-8-2023 7:41:30",1691912490,46212945,"X0VS6WJPG","NSMBU",3,"Snow",6,"Super expert",3,"Puzzle solving"," Speedrun",2,3,"00:13.237",13237,"00:14.467",14467,0,3342591980,0,1,178,"0.56%",0.561797752808989,29,0,0,1,0,27,NA,NA
