"name","description","uploaded_pretty","uploaded","data_id","course_id","game_style_name","game_style","theme_name","theme","difficulty_name","difficulty","tags_name_1","tags_name_2","tag1","tag2","world_record_pretty","world_record","upload_time_pretty","upload_time","num_comments","clear_condition","clear_condition_magnitude","clears","attempts","clear_rate_pretty","clear_rate","plays","versus_matches","coop_matches","likes","boos","unique_players_and_versus","weekly_likes","weekly_plays"
"Easy parcour training","","24-6-2023 17:14:09",1687626849,45193695,"KW0K948DF","SMW",2,"Overworld",0,"Normal",1,"Standard"," Short and sweet",1,6,"00:08.283",8283,"00:24.569",24569,0,0,0,16,44,"36.36%",36.3636363636364,22,1,0,2,1,20,NA,NA
"Double trouble","Sneak in ","29-10-2022 20:11:56",1667074316,40872132,"05L64F0DG","SMB3",1,"Underground",1,"Normal",1,"Standard"," Boss battle",1,13,"01:01.296",61296,"02:07.936",127936,1,0,0,16,85,"18.82%",18.8235294117647,31,0,0,4,2,26,NA,NA
"Not Easy","NOT EASEH","27-12-2019 9:40:22",1577439622,12896125,"JNMX92Y5G","SMB3",1,"Castle",2,"Normal",1,"Speedrun"," Short and sweet",3,6,"00:03.942",3942,"00:09.337",9337,0,375673178,0,45,104,"43.27%",43.2692307692308,52,0,2,5,0,45,NA,NA
"apo8.oert","","9-4-2021 10:27:10",1617964030,29354413,"3NN1H1XRF","SM3DW",4,"Snow",6,"Normal",1,"Standard"," Puzzle solving",1,2,"00:26.292",26292,"01:21.263",81263,0,0,0,43,199,"21.61%",21.608040201005,72,2,0,4,1,71,NA,NA
"2-The Rat Hole","Looks like you found the Skipsqueak's hangout.","25-6-2020 5:02:49",1593061369,21197560,"8GJGQC02G","SM3DW",4,"Underground",1,"Normal",1,"Standard"," Themed",1,8,"00:25.190",25190,"00:30.490",30490,35,0,0,1173,4947,"23.71%",23.7113402061856,1733,37,13,262,28,1708,NA,NA
"Surf","surfs up dudes!! ^-^","22-12-2021 16:20:53",1640190053,34650107,"39QBY964G","SMW",2,"Overworld",0,"Normal",1,"None"," None",0,0,"00:20.500",20500,"00:23.264",23264,4,0,0,60,275,"21.82%",21.8181818181818,102,6,0,12,3,81,NA,NA
"走れ～～","","26-12-2019 1:23:01",1577323381,12819459,"BWV9TGMBG","NSMBU",3,"Airship",3,"Normal",1,"Multiplayer versus"," Multiplayer versus",7,7,"00:10.572",10572,"00:11.606",11606,2,0,0,39,97,"40.21%",40.2061855670103,59,4,0,4,3,54,NA,NA
"さばくのリメイクコース♪","","18-10-2022 11:18:50",1666091930,40725026,"0TXLDL6HF","NSMBU",3,"Desert",7,"Normal",1,"Speedrun"," Speedrun",3,3,"00:13.818",13818,"00:14.310",14310,0,0,0,71,581,"12.22%",12.2203098106713,122,5,0,12,5,92,NA,NA
".",".","14-7-2023 19:36:32",1689363392,45578865,"5WRWTBPVF","SM3DW",4,"Airship",3,"Normal",1,"Technical"," Technical",11,11,"00:02.883",2883,"00:03.299",3299,0,0,0,11,29,"37.93%",37.9310344827586,13,0,0,1,2,12,NA,NA
"Through the hills","Very simple level","12-7-2019 4:01:28",1562904088,5299210,"FSVW4NYHG","SM3DW",4,"Overworld",0,"Normal",1,"Standard"," Speedrun",1,3,"00:21.750",21750,"01:41.667",101667,1,0,0,80,304,"26.32%",26.3157894736842,108,6,0,13,1,107,NA,NA
"bowsers castle 2","","22-6-2023 17:57:34",1687456654,45153240,"MJQYBDYVG","SMB1",0,"Castle",2,"Normal",1,"Boss battle"," Boss battle",13,13,"00:05.139",5139,"00:05.785",5785,1,0,0,45,121,"37.19%",37.1900826446281,54,0,0,5,1,41,NA,NA
"bigfoot","idk why I name it BigfootXD","11-2-2024 19:43:19",1707680599,49115387,"BN5D7ST4G","SMB3",1,"Overworld",0,"Normal",1,"Short and sweet"," Short and sweet",6,6,"00:10.308",10308,"00:29.310",29310,0,0,0,12,42,"28.57%",28.5714285714286,22,0,0,3,1,18,NA,NA
"Mountain climbing pt 1 lets-a go","Start your journey climbing a giant mountain","13-2-2024 15:58:48",1707839928,49147213,"SHY5D7YLG","SMW",2,"Snow",6,"Normal",1,"Standard"," Themed",1,8,"01:26.266",86266,"01:36.649",96649,0,0,0,6,31,"19.35%",19.3548387096774,15,1,4,3,2,20,NA,NA
"fd!jfeeeedds","","14-7-2024 22:31:56",1720996316,51296170,"QW09S9JPF","SM3DW",4,"Overworld",0,"Normal",1,"Puzzle solving"," Auto mario",2,5,"00:01.102",1102,"00:04.395",4395,0,0,0,12,22,"54.55%",54.5454545454545,13,0,0,1,0,7,NA,NA
"Parkour Pipe Palooza [30s]","Never stop moving! This is my first rush level.","15-3-2022 22:16:29",1647382589,36630011,"4W7NSHV4G","SMB3",1,"Forest",9,"Normal",1,"Short and sweet"," Single player",6,14,"00:27.167",27167,"00:27.704",27704,1,0,0,62,615,"10.08%",10.0813008130081,111,0,0,15,4,91,NA,NA
"戦い","","28-4-2024 13:05:01",1714309501,50291236,"FWVPCMVJF","NSMBU",3,"Desert",7,"Normal",1,"Boss battle"," Boss battle",13,13,"00:27.406",27406,"00:34.796",34796,0,0,0,1,3,"33.33%",33.3333333333333,3,0,0,0,0,3,NA,NA
"マルマルしないとクリアできません","マルマルする","21-8-2021 5:50:45",1629525045,32494080,"VBS6B1V8G","NSMBU",3,"Overworld",0,"Normal",1,"Puzzle solving"," Multiplayer versus",2,7,"00:01.351",1351,"00:01.470",1470,0,0,0,120,364,"32.97%",32.967032967033,177,4,3,24,13,121,NA,NA
"Find a way","my first level","28-7-2019 23:49:25",1564357765,7098384,"0T2YBD9PG","NSMBU",3,"Sky",8,"Normal",1,"Puzzle solving"," Short and sweet",2,6,"00:33.450",33450,"00:50.091",50091,1,0,0,32,161,"19.88%",19.8757763975155,52,7,3,5,1,60,NA,NA
"1画面だけど【ムズい】コース","※マリオメーカーは嫌いにならないで下さい！！","28-12-2022 6:41:07",1672209667,41726498,"FFF1KS4HF","NSMBU",3,"Overworld",0,"Normal",1,"Multiplayer versus"," Multiplayer versus",7,7,"00:09.639",9639,"00:15.773",15773,3,0,0,48,345,"13.91%",13.9130434782609,94,3,0,25,4,91,NA,NA
"world 1-1 in super mario bros","w","17-10-2020 15:30:29",1602948629,24560074,"RLP1NB8JG","SMB1",0,"Overworld",0,"Normal",1,"Themed"," Single player",8,14,"00:18.345",18345,"01:09.860",69860,2,0,0,35,82,"42.68%",42.6829268292683,45,0,1,4,0,46,NA,NA
"Cookie Dessert - 2","Hello, Welcome to my second dessert! You have to watch out the anrgry sun!","9-9-2023 12:58:24",1694264304,46705625,"D824415XG","SMB3",1,"Desert",7,"Normal",1,"Standard"," Multiplayer versus",1,7,"00:23.749",23749,"00:30.978",30978,0,0,0,8,25,"32.00%",32,13,0,1,1,0,14,NA,NA
"Bowser's Fortress","Faster level complete = more boss time. Yoshi is highly recommended.","29-12-2019 1:31:06",1577583066,12988674,"S8RJ2T0BG","NSMBU",3,"Castle",2,"Normal",1,"Standard"," Speedrun",1,3,"02:10.690",130690,"06:07.789",367789,0,1268255615,1,9,120,"7.50%",7.5,17,0,0,1,0,14,NA,NA
"Mario Gear Solid","","23-4-2020 0:03:57",1587600237,17305232,"4285DV3PG","SM3DW",4,"Underground",1,"Normal",1,"Standard"," Standard",1,1,"00:20.011",20011,"00:25.035",25035,0,1151250770,0,35,95,"36.84%",36.8421052631579,60,1,8,6,0,64,NA,NA
